Word,Sender,Hour,Minute,Day,Month,Year,Message,Location,AbsoluteLocation
sweet,JoeSwanson,15,28,04,08,2014,150,8,762
kind,JoeSwanson,15,28,04,08,2014,150,9,763
brother,JoeSwanson,15,28,04,08,2014,150,10,764
hope,Ganrer,18,02,04,08,2014,151,2,766
young,Ganrer,18,02,04,08,2014,151,3,767
griff,Ganrer,18,02,04,08,2014,151,4,768
die,Ganrer,18,02,04,08,2014,151,6,770
waste,Ganrer,18,03,04,08,2014,152,6,776
l,JoeSwanson,18,26,04,08,2014,153,1,780
knows,JoeSwanson,18,26,04,08,2014,154,2,782
know,Ganrer,19,00,04,08,2014,155,3,785
well,JoeSwanson,19,26,04,08,2014,156,1,786
finished,JoeSwanson,19,26,04,08,2014,156,3,788
known,JoeSwanson,19,26,04,08,2014,156,5,790
books,JoeSwanson,19,26,04,08,2014,156,6,791
read,JoeSwanson,19,26,04,08,2014,157,4,795
twow,JoeSwanson,19,26,04,08,2014,157,6,797
chapter,JoeSwanson,19,26,04,08,2014,157,7,798
samples,JoeSwanson,19,26,04,08,2014,157,8,799
wanna,JoeSwanson,19,27,04,08,2014,158,1,800
wait,JoeSwanson,19,27,04,08,2014,158,2,801
til,JoeSwanson,19,27,04,08,2014,158,3,802
book,JoeSwanson,19,27,04,08,2014,158,5,804
comes,JoeSwanson,19,27,04,08,2014,158,6,805
could,Ganrer,20,56,04,08,2014,159,3,809
finally,Ganrer,20,56,04,08,2014,159,4,810
read,Ganrer,20,56,04,08,2014,159,5,811
together,Ganrer,20,56,04,08,2014,159,6,812
read,Ganrer,20,56,04,08,2014,160,3,815
books,Ganrer,20,56,04,08,2014,160,5,817
love,Ganrer,20,56,04,08,2014,160,7,819
clash,Ganrer,20,56,04,08,2014,160,9,821
clans,Ganrer,20,56,04,08,2014,160,11,823
name,Ganrer,20,56,04,08,2014,160,12,824
cheeky,Ganrer,20,56,04,08,2014,161,3,827
kinda,Ganrer,20,56,04,08,2014,162,2,829
jelly,Ganrer,20,56,04,08,2014,162,3,830
